timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
2023-03-23T21:15:05,codecarbon,28825013-88b6-456e-9e1a-6e263d40614d,0.03059220314025879,1.611902122116961e-08,0.0005268996530673944,14.0,0.0,1.460466384887695,1.1896967887878413e-07,0,1.2006886510107508e-08,1.3097656538889168e-07,Brazil,BRA,rio grande do norte,,,Windows-10-10.0.22621-SP0,3.8.5,8,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,,,-35.205,-5.9252,3.894577026367188,machine,N
2023-03-23T21:15:48,codecarbon,ffffe16e-e7ec-4847-aa18-3d44bd872d4c,0.031397104263305664,1.6546133418187803e-08,0.0005269955241549315,14.0,0.0,1.460466384887695,1.2209984991285537e-07,0,1.234725427821104e-08,1.344471041910664e-07,Brazil,BRA,rio grande do norte,,,Windows-10-10.0.22621-SP0,3.8.5,8,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,,,-35.205,-5.9252,3.894577026367188,machine,N
2023-03-23T21:16:30,codecarbon,f6a32018-19e7-4839-afe2-b05e087ec5ca,0.03161168098449707,1.6707549247807014e-08,0.0005285245430637078,14.0,0.0,1.460466384887695,1.2293431493971085e-07,0,1.2824388179903206e-08,1.3575870311961405e-07,Brazil,BRA,rio grande do norte,,,Windows-10-10.0.22621-SP0,3.8.5,8,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,,,-35.205,-5.9252,3.894577026367188,machine,N
2023-03-23T21:17:13,codecarbon,e121bca3-7f9c-43db-a38b-e830e4fd436a,0.03394913673400879,1.794295197974933e-08,0.0005285245430637077,14.0,0.0,1.460466384887695,1.3202442063225645e-07,0,1.3772659165548855e-08,1.4579707979780526e-07,Brazil,BRA,rio grande do norte,,,Windows-10-10.0.22621-SP0,3.8.5,8,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,,,-35.205,-5.9252,3.894577026367188,machine,N
2023-03-23T21:17:57,codecarbon,6abd9a88-bcfc-4087-a18c-c8e4cc0e3be0,0.03354215621948242,1.772785278927345e-08,0.0005285245430637078,14.0,0.0,1.460466384887695,1.3044171863132053e-07,0,1.3607553232001614e-08,1.4404927186332213e-07,Brazil,BRA,rio grande do norte,,,Windows-10-10.0.22621-SP0,3.8.5,8,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,,,-35.205,-5.9252,3.894577026367188,machine,N
2023-03-23T21:18:42,codecarbon,b656cfa2-d329-4b76-8781-4cfec9033d56,0.365185022354126,1.9248164290791613e-07,0.0005270797845626415,14.0,0.0,1.460466384887695,1.4162818590799968e-06,0,1.4774514619375625e-07,1.5640270052737532e-06,Brazil,BRA,rio grande do norte,,,Windows-10-10.0.22621-SP0,3.8.5,8,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,,,-35.205,-5.9252,3.894577026367188,machine,N
2023-03-23T21:19:55,codecarbon,23be39b4-2f0e-4adc-a25c-14151e2bfaa5,0.19984841346740725,1.0406190900548762e-07,0.0005207042037512037,14.0,0.0,1.460466384887695,7.661167780558268e-07,0,7.944767913651656e-08,8.455644571923434e-07,Brazil,BRA,rio grande do norte,,,Windows-10-10.0.22621-SP0,3.8.5,8,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,,,-35.205,-5.9252,3.894577026367188,machine,N
2023-03-23T21:21:04,codecarbon,ede06586-5a4f-4b5b-9e14-c78f8638fc48,0.6615273952484131,3.4958345774575076e-07,0.0005284489504995891,14.0,0.0,1.460466384887695,2.5726065370771614e-06,0,2.679654793041664e-07,2.8405720163813284e-06,Brazil,BRA,rio grande do norte,,,Windows-10-10.0.22621-SP0,3.8.5,8,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,,,-35.205,-5.9252,3.894577026367188,machine,N
2023-03-23T21:21:58,codecarbon,3e9f05ea-cd2c-4973-81a0-a4c7a57a50aa,0.042361974716186516,2.2389343330148826e-08,0.0005285245430637077,14.0,0.0,1.460466384887695,1.647410127851698e-07,0,1.7185622241792468e-08,1.8192663502696234e-07,Brazil,BRA,rio grande do norte,,,Windows-10-10.0.22621-SP0,3.8.5,8,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,,,-35.205,-5.9252,3.894577026367188,machine,N
2023-03-23T21:22:46,codecarbon,6334db23-142e-46ce-9ff6-6435d4c6ac54,0.030331134796142575,1.6030749158734983e-08,0.0005285245430637078,14.0,0.0,1.460466384887695,1.1795441309611001e-07,0,1.2304889662573258e-08,1.302593027586833e-07,Brazil,BRA,rio grande do norte,,,Windows-10-10.0.22621-SP0,3.8.5,8,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,,,-35.205,-5.9252,3.894577026367188,machine,N
